TaskID,Input1,Output1_1,Output1_2
2,0.53333336,24.83,18.8
2,0.54901963,24.503529,18.295294
2,0.5647059,24.17706,17.770588
2,0.5803922,23.852942,17.268236
2,0.59607846,23.530588,16.807648
2,0.6117647,23.217648,16.377647
2,0.627451,22.915882,15.971176
2,0.6431373,22.63353,15.584705
2,0.65882355,22.434118,15.304117
2,0.6745098,22.32294,15.18
2,0.6901961,22.258823,15.098824
2,0.7058824,22.194706,15.024706
2,0.72156864,22.15,14.960588
2,0.7372549,22.11647,14.92
2,0.7529412,22.062353,14.872353
2,0.76862746,21.948235,14.738235
2,0.78431374,21.772352,14.542353
2,0.8,21.47,14.21
2,0.8156863,21.069412,13.749412
2,0.83137256,20.598824,13.238824
2,0.84705883,20.095882,12.705883
2,0.8627451,19.504705,12.131176
2,0.8784314,18.815294,11.53647
2,0.89411765,18.042353,10.927058
2,0.9098039,17.250587,10.317059
2,0.9254902,16.433529,9.709412
2,0.9411765,15.5394125,9.080588
2,0.95686275,14.588236,8.431766
2,0.972549,13.571765,7.747647
2,0.9882353,12.467058,6.994705
3,0.0,57.1,28.14
3,0.015686275,57.196667,28.216667
3,0.03137255,57.303333,28.286667
3,0.047058824,57.43,28.34
3,0.0627451,57.553333,28.403334
3,0.078431375,57.643333,28.476667
3,0.09411765,57.73,28.56
3,0.10980392,57.816666,28.62
3,0.1254902,57.90333,28.65
3,0.14117648,57.97,28.69
3,0.15686275,58.023335,28.743334
3,0.17254902,58.09667,28.796667
3,0.1882353,58.17,28.84
3,0.20392157,58.243332,28.873333
3,0.21960784,58.296665,28.91
3,0.23529412,58.35,28.95
3,0.2509804,58.413334,28.99
3,0.26666668,58.476665,29.02
3,0.28235295,58.54,29.05
3,0.29803923,58.583332,29.08
3,0.3137255,58.636665,29.1
3,0.32941177,58.69,29.12
3,0.34509805,58.766666,29.153334
3,0.36078432,58.863335,29.213333
3,0.3764706,58.99,29.29
3,0.39215687,59.126667,29.366667
3,0.40784314,59.286667,29.446667
3,0.42352942,59.52,29.56
3,0.4392157,59.79667,29.69
3,0.45490196,60.073334,29.83
3,0.47058824,60.37,29.99
3,0.4862745,60.713333,30.153334
3,0.5019608,61.16,30.34
3,0.5176471,61.670002,30.53
3,0.53333336,62.226665,30.710001
3,0.54901963,62.82,30.896667
3,0.5647059,63.46,31.1
3,0.5803922,64.12,31.300001
3,0.59607846,64.82333,31.470001
3,0.6117647,65.62,31.65
3,0.627451,66.526665,31.866667
3,0.6431373,67.513336,32.133335
3,0.65882355,68.57,32.43
3,0.6745098,69.71333,32.763332
3,0.6901961,70.85,33.106667
3,0.7058824,71.92,33.45
3,0.72156864,73.01,33.823334
3,0.7372549,74.14,34.22667
3,0.7529412,75.29,34.66
3,0.76862746,76.47667,35.13
3,0.78431374,77.71,35.63
3,0.8,79.00001,36.170002
3,0.8156863,80.32667,36.736668
3,0.83137256,81.69334,37.33
3,0.84705883,83.11,37.95
3,0.8627451,84.59334,38.603336
3,0.8784314,86.130005,39.29667
3,0.89411765,87.75,40.03
3,0.9098039,89.450005,40.8
3,0.9254902,91.21667,41.60667
3,0.9411765,93.03001,42.420002
3,0.95686275,94.87667,43.24
3,0.972549,96.770004,44.06
3,0.9882353,98.72,44.890003
4,0.0,71.93,40.01
4,0.015686275,71.92,40.01
4,0.03137255,71.91,40.01
4,0.047058824,71.9,40.01
4,0.0627451,71.9,40.01
4,0.078431375,71.9,40.01
4,0.09411765,71.9,40.01
4,0.10980392,71.91,40.01
4,0.1254902,71.91,40.01804
4,0.14117648,71.91,40.02
4,0.15686275,71.91,40.03255
4,0.17254902,71.9,40.04
4,0.1882353,71.88,40.03
4,0.20392157,71.85,40.015686
4,0.21960784,71.79843,39.998432
4,0.23529412,71.71236,39.97
4,0.2509804,71.59784,39.92392
4,0.26666668,71.46,39.88
4,0.28235295,71.308235,39.82941
4,0.29803923,71.10863,39.772156
4,0.3137255,70.84451,39.684902
4,0.32941177,70.52588,39.585293
4,0.34509805,70.15275,39.480785
4,0.36078432,69.698235,39.356274
4,0.3764706,69.20294,39.231766
4,0.39215687,68.67628,39.10588
4,0.40784314,68.075096,38.982746
4,0.42352942,67.38941,38.884117
4,0.4392157,66.649216,38.826862
4,0.45490196,65.8849,38.769608
4,0.47058824,65.09294,38.722355
4,0.4862745,64.26647,38.71
4,0.5019608,63.395493,38.73216
4,0.5176471,62.47,38.79941
4,0.53333336,61.47,38.913334
4,0.54901963,60.449413,39.075687
4,0.5647059,59.418823,39.294704
4,0.5803922,58.378235,39.55216
4,0.59607846,57.286274,39.858433
4,0.6117647,56.13118,40.22059
4,0.627451,54.945885,40.641567
4,0.6431373,53.743534,41.119606
4,0.65882355,52.56118,41.647057
4,0.6745098,51.358826,42.231567
4,0.6901961,50.146473,42.86137
4,0.7058824,48.93412,43.544117
4,0.72156864,47.70804,44.268433
4,0.7372549,46.479412,45.043724
4,0.7529412,45.248825,45.845295
4,0.76862746,44.06471,46.65686
4,0.78431374,42.86961,47.51392
4,0.8,41.610004,48.459995
4,0.8156863,40.360397,49.470585
4,0.83137256,39.125298,50.545685
4,0.84705883,37.902943,51.677055
4,0.8627451,36.69059,52.89843
4,0.8784314,35.530785,54.148037
4,0.89411765,34.446472,55.437645
4,0.9098039,33.415096,56.75961
4,0.9254902,32.299217,58.2851
4,0.9411765,31.230001,59.888233
4,0.95686275,30.23412,61.491367
4,0.972549,29.28314,63.10431
4,0.9882353,28.300003,64.82882
5,0.0,78.59,42.15
5,0.015686275,78.58,42.14
5,0.03137255,78.58,42.14
5,0.047058824,78.59,42.12
5,0.0627451,78.59333,42.11
5,0.078431375,78.59,42.11
5,0.09411765,78.59,42.11
5,0.10980392,78.58,42.12
5,0.1254902,78.57,42.123333
5,0.14117648,78.57,42.13
5,0.15686275,78.57,42.13
5,0.17254902,78.57333,42.13
5,0.1882353,78.58,42.14
5,0.20392157,78.6,42.14
5,0.21960784,78.61,42.13
5,0.23529412,78.61,42.12
5,0.2509804,78.59333,42.12
5,0.26666668,78.57,42.12
5,0.28235295,78.5,42.11
5,0.29803923,78.37666,42.07
5,0.3137255,78.18667,41.996666
5,0.32941177,77.909996,41.89
5,0.34509805,77.52333,41.746666
5,0.36078432,77.0,41.58
5,0.3764706,76.4,41.38
5,0.39215687,75.753334,41.17
5,0.40784314,75.06333,40.946667
5,0.42352942,74.33,40.72
5,0.4392157,73.54667,40.5
5,0.45490196,72.75,40.256668
5,0.47058824,71.96,40.0
5,0.4862745,71.17667,39.763332
5,0.5019608,70.39,39.55
5,0.5176471,69.51,39.34
5,0.53333336,68.503334,39.15
5,0.54901963,67.41333,38.97
5,0.5647059,66.29,38.8
5,0.5803922,65.12667,38.673332
5,0.59607846,63.963333,38.62
5,0.6117647,62.78,38.66
5,0.627451,61.543335,38.753334
5,0.6431373,60.24667,38.92
5,0.65882355,58.880005,39.19
5,0.6745098,57.453335,39.613335
5,0.6901961,55.963333,40.146667
5,0.7058824,54.460003,40.739998
5,0.72156864,52.930004,41.406666
5,0.7372549,51.340004,42.17
5,0.7529412,49.69,43.02
5,0.76862746,47.993336,43.943333
5,0.78431374,46.273335,44.929996
5,0.8,44.560005,45.979996
